Admission Requirements to Select Public Universities,,,,,
NAME OF UNIVERISTY,,,,,
Angelo State University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"San Angelo, TX.",10,0,0,31.443428,-100.466037
,50,17,820,,
Lamar University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Beaumont, TX.",10,0,0,30.044045,-94.070688
,25,18,850,,
,50,20,930,,
,100,21,1000,,
Tarleton State University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Stephenville, TX.",25,0,0,32.21501,-98.214778
,50,0,0,,
,75,16,800,,
Texas A&M International,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Laredo, TX.",10,0,0,27.573481,-99.435025
,25,0,0,,
,40,0,0,,
,100,19,900,,
Texas A&M University- College Station,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Bryan/College Station, TX.",10,0,0,30.618696,-96.336478
,25,30,1300,,
Texas A&M University-Commerce,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Commerce, TX.",30,0,0,33.241747,-95.90508
,100,21,1060,,
Texas A&M-Corpus Christi,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Corpus Christi, TX.",25,0,0,27.712745,-97.324143
,50,21,1080,,
,75,23,1170,,
,100,27,1270,,
Texas A&M University-Kingsville,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Kingsville, TX.",10,0,0,27.526913,-97.884787
,25,15,740,,
,50,17,830,,
,100,20,950,,
Texas A&M University-Texarkana ,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Texarkana, TX.",25,0,0,33.489811,-94.103673
,100,22,1100,,
,3.4,0,0,,
,3.0,19,980,,
,2.5,20,1020,,
,2.0,21,1060,,
Texas Southern University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Houston, TX.",10,17,900,29.722333,-95.359781
,2.5,17,900,,
Texas Tech University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Lubbock, TX.",10,0,0,33.585428,-101.87713
,25,25,1140,,
,50,28,1230,,
,100,29,1270,,
Texas Woman's University,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Denton, TX.",25,0,0,33.226258,-97.127863
,50,21,1080,,
The University of Texas at Arlington,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Arlington, TX.",25,0,0,32.729182,-97.115219
,50,22,1130,,
The University of Texas at Austin,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Austin, TX.",7,0,0,30.283515,-97.73488
The University of Texas at Dallas,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Richardson, TX.",15,0,0,32.978311,-96.748454
,100,26,1200,,
The University of Texas at Permian Basin,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Odessa, TX.",10,0,0,31.880997,-102.321828
,25,19,950,,
,50,20,1000,,
,100,24,1150,,
The University of Texas Rio Grand Valley,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
"Edinburg, TX.",10,0,0,26.306346,-98.173081
The University of Texas at Tyler,CLASS RANK/PERCENTILE,ACT Comp:,SAT Comp:,Latitude:,Longitude:
